mucle_Id,name,description,method,video
1,胸大肌,"胸大肌在胸廓前上部浅层。起端：即锁骨部(锁骨内侧半)、胸肋部(胸骨和上位5～6肋软骨)和腹部(腹直肌鞘的前壁)。止点：肱骨大结节嵴(锁骨部和腹部肌束上下交叉)。肌腹呈扇形，向外上集中呈“U”形扁腱止于大结节嵴(结节间沟外侧唇)。","标准俯卧撑：
要做到俯卧撑的一个完美起始姿势，身体必须保持从肩膀到脚踝成一条直线，双臂应该放在胸部位置，两手相距略宽于肩膀。这样可以确保每个动作都能更有效锻炼肱三头肌。
做俯卧撑时，应该用2到3秒时间来充分下降身体，最终胸部距离地面应该是2到3厘米距离左右；然后，要马上用力撑起，回到起始位置。
如果做不到一个完整的俯卧撑，也可以膝盖着地。这也是当正式的俯卧撑已经无法完成，而又想继续锻炼时可以选择的方法。
动作要领：1、挺胸收腹，躯干与腿部保持一条直线2、手臂自然伸直垂直于地面3、双手与肩同宽，始终保持腰背挺直，控制肘部紧贴身体两侧",https://static.ouj.com/hiyd_cms/file/b904002850f04f75b6e73e8717abb75c.mp4
2,股四头肌,股四头肌是人体最大的一组肌肉，由股直肌、股中间肌、股内侧肌、股外侧肌组成，是维持膝关节稳定、行走和奔跑的肌肉之一。其功能为股直肌在收缩时能够屈髖关节，股四头肌向下移行的髌韧带收缩，可以伸膝关节。,"徒手深蹲：1.两脚开立，比肩稍窄。向前方躬身，膝盖不要弯。2.向前躬身，上体与膝盖正直。直到上身与地面平行。眼睛正视前方。3.下背部肌肉收缩用力，脊柱前挺，上拉。还原过程腰要绷紧，不要弯曲腰部。动作要领：1、收紧腹部，臀部紧张2、腰背平直3、脚尖与膝盖保持同一方向，膝盖不要超过脚尖4、大腿与地面保持平行",https://static.ouj.com/hiyd_cms/file/ad1602623c7240ffaa7ad28cc51e4d03.mp4
3,股四头肌,股四头肌是人体最大的一组肌肉，由股直肌、股中间肌、股内侧肌、股外侧肌组成，是维持膝关节稳定、行走和奔跑的肌肉之一。其功能为股直肌在收缩时能够屈髖关节，股四头肌向下移行的髌韧带收缩，可以伸膝关节。,"徒手深蹲：1.两脚开立，比肩稍窄。向前方躬身，膝盖不要弯。2.向前躬身，上体与膝盖正直。直到上身与地面平行。眼睛正视前方。3.下背部肌肉收缩用力，脊柱前挺，上拉。还原过程腰要绷紧，不要弯曲腰部。动作要领：1、收紧腹部，臀部紧张2、腰背平直3、脚尖与膝盖保持同一方向，膝盖不要超过脚尖4、大腿与地面保持平行",https://static.ouj.com/hiyd_cms/file/ad1602623c7240ffaa7ad28cc51e4d03.mp4
4,腹肌,腹肌是人体结缔组织组成中的重要部分，包括腹直肌、腹外斜肌，腹内斜肌和腹横肌。当它们收缩时，可以使躯干弯曲及旋转，并可以防止骨盆前倾。腹部肌肉对于腰椎的活动和稳定性也有相当重要的作用，还可以控制骨盆与脊柱的活动。软弱无力的腹肌可能导致骨盆前倾和腰椎生理弯曲增加，并增加腰背痛的几率。,"卷腹：首先是你的准备姿势，平躺在地面时膝盖最好弯曲呈90°，脚面是着地的，背部不要歪斜；要进行动作时可以将双手放在耳旁、或是抱在胸前进行辅助，如果想双手抱头，注意手臂不要发力；在腹部发力之前，将背部稍向上拱起，这样可以伸展你的腹部肌肉，为后续的发力做准备。之后收缩你的腹肌，带动上背部离开地面；在发力时，最需要注意的是脖子不要向上发力，也就是不要弯曲你的勃颈。这会对你的颈椎带来极大的负担；在上背部完全离开地面后便开始做返程动作，尽量在身体下行时也保持对身体的掌控力，而非利用重力和惯性来动作。动作要领：1、运动中保持下巴与颈部夹角不变2、踮起脚尖3、腹部持续紧张",https://static.ouj.com/hiyd_cms/file/79fe92ce8f974b70ad4d42529072863a.mp4
5,肱二头肌,"肱二头肌位于上臂前侧，整肌呈梭形。肱二头肌有长、短二头，故名。肱二头肌属于骨骼肌三大肌群中的四肢肌。长头起于肩胛骨盂上粗隆，短头起于肩胛骨喙突.长，短二头于肱骨中部汇合为肌腹，下行至肱骨下端，集成肌腱止于桡骨粗隆和前臂筋腱膜。","哑铃弯举：1. 身体直立，双手各持一只哑铃，双臂在身体两侧自然下垂，掌心相对。抬头挺胸，目视前方。这是动作的起始位置。2. 上臂保持固定，收缩肱二头肌，前臂向上弯举，同时呼气。直至肱二头肌完全收缩，哑铃到达肩部高度。弯举的过程中旋转手腕，是掌心最终向后。3. 在顶端稍适停留，感受肱二头肌的收缩，然后再将哑铃放回起始位置，同时吸气。4. 以上是一次完整动作，重复动作至推荐次数。",https://static.ouj.com/hiyd_cms/file/c95fe3188eff407094e45f51fb40e151.mp4
6,肱二头肌,"肱二头肌位于上臂前侧，整肌呈梭形。肱二头肌有长、短二头，故名。肱二头肌属于骨骼肌三大肌群中的四肢肌。
 长头起于肩胛骨盂上粗隆，短头起于肩胛骨喙突.长，短二头于肱骨中部汇合为肌腹，下行至肱骨下端，集成肌腱止于桡骨粗隆和前臂筋腱膜。","哑铃弯举：
 1. 身体直立，双手各持一只哑铃，双臂在身体两侧自然下垂，掌心相对。抬头挺胸，目视前方。这是动作的起始位置。
 2. 上臂保持固定，收缩肱二头肌，前臂向上弯举，同时呼气。直至肱二头肌完全收缩，哑铃到达肩部高度。弯举的过程中旋转手腕，是掌心最终向后。
 3. 在顶端稍适停留，感受肱二头肌的收缩，然后再将哑铃放回起始位置，同时吸气。
 4. 以上是一次完整动作，重复动作至推荐次数。",https://static.ouj.com/hiyd_cms/file/c95fe3188eff407094e45f51fb40e151.mp4
7,肩部,"1．顶由锁骨中1/3、第1肋和肩胛骨上缘围成，是腋窝的上口，与颈根部相通。
 2．底由浅入深为皮肤、浅筋膜及腋筋膜。皮肤借纤维隔与腋筋膜相连。腋筋膜中央部较薄弱，且有皮神经、浅血管及淋巴管穿过而呈筛状，故名筛状筋膜。
 3．四壁有前壁、外侧壁、内侧壁及后壁。前壁由胸大、小肌，锁骨下肌和锁胸筋膜构成。锁胸筋膜呈三角形，位于锁骨下肌、胸小肌和喙突之间。胸小肌下缘以下的筋膜，连于腋筋膜，称为腋悬韧 带。外侧壁由肱骨结节门沟、肱二头肌短头和喙肢肌组成。内侧壁由前锯肌及其深面的上4个肋与肋间隙构成。后壁由肩脚下肌、大圆肌、背阔肌与肩胛骨构成。由于肱三头肌长头穿过大圆肌和 肩胛下肌、小圆肌之间，其内侧为三边孔，有旋肩胛血管通过；肱三头肌长头与肱骨外科颈之间为四边孔，有腋神经及旋肢后血管通过。","侧平举：
 1、挺胸收腹，腰背挺直
 2、动作速度保持平稳
 3、肘关节夹角不变",https://static.ouj.com/hiyd_cms/file/790a491ccd1f411f9f456c2bb537cb96.mp4
8,肩部,"1．顶由锁骨中1/3、第1肋和肩胛骨上缘围成，是腋窝的上口，与颈根部相通。
 2．底由浅入深为皮肤、浅筋膜及腋筋膜。皮肤借纤维隔与腋筋膜相连。腋筋膜中央部较薄弱，且有皮神经、浅血管及淋巴管穿过而呈筛状，故名筛状筋膜。
 3．四壁有前壁、外侧壁、内侧壁及后壁。前壁由胸大、小肌，锁骨下肌和锁胸筋膜构成。锁胸筋膜呈三角形，位于锁骨下肌、胸小肌和喙突之间。胸小肌下缘以下的筋膜，连于腋筋膜，称为腋悬韧 带。外侧壁由肱骨结节门沟、肱二头肌短头和喙肢肌组成。内侧壁由前锯肌及其深面的上4个肋与肋间隙构成。后壁由肩脚下肌、大圆肌、背阔肌与肩胛骨构成。由于肱三头肌长头穿过大圆肌和 肩胛下肌、小圆肌之间，其内侧为三边孔，有旋肩胛血管通过；肱三头肌长头与肱骨外科颈之间为四边孔，有腋神经及旋肢后血管通过。","侧平举：
 1、挺胸收腹，腰背挺直
 2、动作速度保持平稳
 3、肘关节夹角不变",https://static.ouj.com/hiyd_cms/file/790a491ccd1f411f9f456c2bb537cb96.mp4
9,肩部,"1．顶由锁骨中1/3、第1肋和肩胛骨上缘围成，是腋窝的上口，与颈根部相通。
 2．底由浅入深为皮肤、浅筋膜及腋筋膜。皮肤借纤维隔与腋筋膜相连。腋筋膜中央部较薄弱，且有皮神经、浅血管及淋巴管穿过而呈筛状，故名筛状筋膜。
 3．四壁有前壁、外侧壁、内侧壁及后壁。前壁由胸大、小肌，锁骨下肌和锁胸筋膜构成。锁胸筋膜呈三角形，位于锁骨下肌、胸小肌和喙突之间。胸小肌下缘以下的筋膜，连于腋筋膜，称为腋悬韧 带。外侧壁由肱骨结节门沟、肱二头肌短头和喙肢肌组成。内侧壁由前锯肌及其深面的上4个肋与肋间隙构成。后壁由肩脚下肌、大圆肌、背阔肌与肩胛骨构成。由于肱三头肌长头穿过大圆肌和 肩胛下肌、小圆肌之间，其内侧为三边孔，有旋肩胛血管通过；肱三头肌长头与肱骨外科颈之间为四边孔，有腋神经及旋肢后血管通过。","侧平举：
 1、挺胸收腹，腰背挺直
 2、动作速度保持平稳
 3、肘关节夹角不变",https://static.ouj.com/hiyd_cms/file/790a491ccd1f411f9f456c2bb537cb96.mp4
10,肩部,"1．顶由锁骨中1/3、第1肋和肩胛骨上缘围成，是腋窝的上口，与颈根部相通。
 2．底由浅入深为皮肤、浅筋膜及腋筋膜。皮肤借纤维隔与腋筋膜相连。腋筋膜中央部较薄弱，且有皮神经、浅血管及淋巴管穿过而呈筛状，故名筛状筋膜。
 3．四壁有前壁、外侧壁、内侧壁及后壁。前壁由胸大、小肌，锁骨下肌和锁胸筋膜构成。锁胸筋膜呈三角形，位于锁骨下肌、胸小肌和喙突之间。胸小肌下缘以下的筋膜，连于腋筋膜，称为腋悬韧 带。外侧壁由肱骨结节门沟、肱二头肌短头和喙肢肌组成。内侧壁由前锯肌及其深面的上4个肋与肋间隙构成。后壁由肩脚下肌、大圆肌、背阔肌与肩胛骨构成。由于肱三头肌长头穿过大圆肌和 肩胛下肌、小圆肌之间，其内侧为三边孔，有旋肩胛血管通过；肱三头肌长头与肱骨外科颈之间为四边孔，有腋神经及旋肢后血管通过。","侧平举：
 1、挺胸收腹，腰背挺直
 2、动作速度保持平稳
 3、肘关节夹角不变",https://static.ouj.com/hiyd_cms/file/790a491ccd1f411f9f456c2bb537cb96.mp4
